instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
2,scenario-03,step-7,warm,spot,0.000,0.0020,0.0705,0.0018,1.05,1.05
1,scenario-01,step-20,warm,spot,0.000,0.0034,0.1512,0.0031,2.10,2.10
2,scenario-03,step-8,warm,spot,0.000,0.0018,0.0673,0.0016,1.05,1.05
2,scenario-03,step-9,warm,spot,0.000,0.0018,0.0694,0.0018,1.05,1.05
1,scenario-01,step-21,warm,spot,0.000,0.0034,0.1649,0.0041,2.10,2.10
2,scenario-03,step-10,warm,spot,0.000,0.0034,0.0821,0.0020,1.05,1.05
2,scenario-03,step-11,warm,spot,0.000,0.0019,0.0863,0.0020,1.05,1.05
1,scenario-01,step-22,warm,spot,0.000,0.0035,0.1597,0.0032,2.10,2.10
2,scenario-03,step-12,cold,spot,0.787,0.0020,0.0833,0.0018,1.05,1.05
2,scenario-03,step-13,warm,spot,0.000,0.0022,0.0732,0.0017,1.05,1.05
1,scenario-01,step-23,cold,spot,1.050,0.0033,0.1639,0.0038,2.10,2.10
2,scenario-03,step-14,warm,spot,0.000,0.0019,0.0923,0.0027,1.05,1.05
2,scenario-03,step-15,cold,spot,1.823,0.0024,0.0828,0.0017,1.05,1.05
2,scenario-03,step-16,warm,spot,0.000,0.0018,0.0706,0.0016,1.05,1.05
1,scenario-01,step-24,cold,ondemand,1.304,0.0036,0.1555,0.0031,2.10,2.10
2,scenario-03,step-17,warm,spot,0.000,0.0018,0.0725,0.0019,1.05,1.05
2,scenario-03,step-18,warm,spot,0.000,0.0019,0.0715,0.0016,1.05,1.05
2,scenario-03,step-19,warm,spot,0.000,0.0018,0.0717,0.0016,1.05,1.05
1,scenario-01,step-25,warm,ondemand,0.000,0.0032,0.1511,0.0031,2.10,2.10
2,scenario-03,step-20,warm,spot,0.000,0.0019,0.0724,0.0016,1.05,1.05
1,scenario-01,step-26,warm,ondemand,0.000,0.0033,0.1532,0.0032,2.10,2.10
2,scenario-03,step-21,warm,spot,0.000,0.0019,0.0745,0.0017,1.05,1.05
2,scenario-03,step-22,warm,spot,0.000,0.0017,0.0758,0.0019,1.05,1.05
2,scenario-03,step-23,warm,spot,0.000,0.0019,0.0742,0.0028,1.05,1.05
1,scenario-01,step-27,warm,ondemand,0.000,0.0034,0.2539,0.0093,2.10,6.29
2,scenario-03,step-24,warm,spot,0.000,0.0022,0.0761,0.0019,1.05,1.05
2,scenario-03,step-25,warm,spot,0.000,0.0018,0.0746,0.0018,1.05,1.05
2,scenario-03,step-26,warm,spot,0.000,0.0020,0.0767,0.0016,1.05,1.05
2,scenario-03,step-27,warm,spot,0.000,0.0017,0.1216,0.0046,1.05,3.15
1,scenario-01,step-28,warm,ondemand,0.000,0.0106,0.4841,0.0090,6.29,6.29
2,scenario-03,step-28,warm,spot,0.000,0.0046,0.2374,0.0050,3.15,3.15
2,scenario-03,step-29,warm,spot,0.000,0.0052,0.2462,0.0050,3.15,3.15
1,scenario-01,step-29,warm,ondemand,0.000,0.0095,0.4826,0.0095,6.29,6.29
2,scenario-03,step-30,warm,spot,0.000,0.0049,0.2467,0.0046,3.15,3.15
2,scenario-03,step-31,warm,spot,0.000,0.0046,0.2507,0.0045,3.15,3.15
1,scenario-01,step-30,warm,ondemand,0.000,0.0091,0.4824,0.0088,6.29,6.29
2,scenario-03,step-32,warm,spot,0.000,0.0048,0.2397,0.0045,3.15,3.15
2,scenario-03,step-33,warm,spot,0.000,0.0045,0.2499,0.0045,3.15,3.15
1,scenario-01,step-31,warm,ondemand,0.000,0.0089,0.4817,0.0085,6.29,6.29
2,scenario-03,step-34,warm,spot,0.000,0.0047,0.2405,0.0055,3.15,3.15
2,scenario-03,step-35,warm,spot,0.000,0.0047,0.2415,0.0045,3.15,3.15
1,scenario-01,step-32,warm,ondemand,0.000,0.0088,0.4980,0.0088,6.29,6.29
2,scenario-03,step-36,warm,spot,0.000,0.0047,0.2363,0.0050,3.15,3.15
2,scenario-03,step-37,warm,spot,0.000,0.0046,0.2345,0.0044,3.15,3.15
1,scenario-01,step-33,warm,ondemand,0.000,0.0093,0.4917,0.0091,6.29,6.29
2,scenario-03,step-38,warm,spot,0.000,0.0046,0.2345,0.0047,3.15,3.15
2,scenario-03,step-39,warm,spot,0.000,0.0047,0.2274,0.0044,3.15,3.15
1,scenario-01,step-34,warm,ondemand,0.000,0.0092,0.4819,0.0090,6.29,6.29
2,scenario-03,step-40,warm,spot,0.000,0.0044,0.2339,0.0060,3.15,3.15
2,scenario-03,step-41,warm,spot,0.000,0.0055,0.1953,0.0017,3.15,1.05
1,scenario-01,step-35,warm,ondemand,0.000,0.0088,0.5006,0.0088,6.29,6.29
1,scenario-01,step-36,warm,spot,0.000,0.0087,0.4606,0.0089,6.29,6.29
1,scenario-01,step-37,warm,spot,0.000,0.0090,0.4622,0.0088,6.29,6.29
1,scenario-01,step-38,warm,spot,0.000,0.0087,0.4511,0.0093,6.29,6.29
1,scenario-01,step-39,warm,spot,0.000,0.0091,0.4600,0.0085,6.29,6.29
1,scenario-01,step-40,warm,spot,0.000,0.0086,0.4548,0.0092,6.29,6.29
1,scenario-01,step-41,warm,spot,0.000,0.0091,0.3374,0.0020,6.29,1.05
3,scenario-02,step-0,warm,spot,0.000,0.0000,0.0715,0.0024,0.00,1.05
3,scenario-02,step-1,warm,spot,0.000,0.0017,0.0884,0.0031,1.05,2.10
3,scenario-02,step-2,warm,spot,0.000,0.0031,0.1181,0.0017,2.10,1.05
3,scenario-02,step-3,warm,spot,0.000,0.0017,0.0890,0.0030,1.05,2.10
3,scenario-02,step-4,warm,spot,0.000,0.0040,0.1129,0.0017,2.10,1.05
3,scenario-02,step-5,warm,spot,0.000,0.0017,0.0660,0.0016,1.05,1.05
3,scenario-02,step-6,warm,spot,0.000,0.0019,0.0913,0.0030,1.05,2.10
3,scenario-02,step-7,warm,spot,0.000,0.0031,0.1340,0.0032,2.10,2.10
3,scenario-02,step-8,warm,spot,0.000,0.0031,0.1125,0.0016,2.10,1.05
3,scenario-02,step-9,warm,spot,0.000,0.0017,0.0889,0.0031,1.05,2.10
3,scenario-02,step-10,warm,spot,0.000,0.0031,0.1328,0.0031,2.10,2.10
3,scenario-02,step-11,warm,spot,0.000,0.0031,0.1365,0.0031,2.10,2.10
3,scenario-02,step-12,warm,spot,0.000,0.0032,0.1119,0.0016,2.10,1.05
3,scenario-02,step-13,warm,spot,0.000,0.0018,0.0669,0.0017,1.05,1.05
3,scenario-02,step-14,warm,spot,0.000,0.0017,0.0660,0.0016,1.05,1.05
3,scenario-02,step-15,warm,spot,0.000,0.0017,0.0895,0.0033,1.05,2.10
3,scenario-02,step-16,warm,spot,0.000,0.0033,0.1117,0.0017,2.10,1.05
3,scenario-02,step-17,warm,spot,0.000,0.0018,0.0898,0.0032,1.05,2.10
4,scenario-01,step-0,warm,ondemand,0.000,0.0000,0.0969,0.0030,0.00,2.10
3,scenario-02,step-18,warm,spot,0.000,0.0031,0.1341,0.0035,2.10,2.10
3,scenario-02,step-19,warm,spot,0.000,0.0031,0.1123,0.0018,2.10,1.05
4,scenario-01,step-1,warm,ondemand,0.000,0.0033,0.1433,0.0035,2.10,2.10
3,scenario-02,step-20,warm,spot,0.000,0.0018,0.1086,0.0045,1.05,2.10
4,scenario-01,step-2,warm,ondemand,0.000,0.0031,0.1574,0.0031,2.10,2.10
3,scenario-02,step-21,warm,spot,0.000,0.0035,0.1220,0.0019,2.10,1.05
3,scenario-02,step-22,warm,spot,0.000,0.0016,0.0682,0.0017,1.05,1.05
4,scenario-01,step-3,warm,ondemand,0.000,0.0031,0.1385,0.0043,2.10,2.10
3,scenario-02,step-23,warm,spot,0.000,0.0019,0.0695,0.0018,1.05,1.05
4,scenario-01,step-4,warm,ondemand,0.000,0.0031,0.1366,0.0042,2.10,2.10
3,scenario-02,step-24,warm,spot,0.000,0.0017,0.0696,0.0019,1.05,1.05
3,scenario-02,step-25,warm,spot,0.000,0.0017,0.0931,0.0044,1.05,2.10
4,scenario-01,step-5,warm,ondemand,0.000,0.0034,0.1371,0.0044,2.10,2.10
3,scenario-02,step-26,warm,spot,0.000,0.0032,0.1204,0.0019,2.10,1.05
4,scenario-01,step-6,warm,ondemand,0.000,0.0032,0.1385,0.0042,2.10,2.10
4,scenario-01,step-7,warm,ondemand,0.000,0.0034,0.1366,0.0044,2.10,2.10
3,scenario-02,step-27,warm,spot,0.000,0.0017,0.1889,0.0166,1.05,6.29
4,scenario-01,step-8,warm,ondemand,0.000,0.0034,0.1376,0.0042,2.10,2.10
4,scenario-01,step-9,warm,ondemand,0.000,0.0031,0.1380,0.0042,2.10,2.10
4,scenario-01,step-10,warm,ondemand,0.000,0.0030,0.1391,0.0050,2.10,2.10
3,scenario-02,step-28,warm,spot,0.000,0.0088,0.4811,0.0099,6.29,6.29
4,scenario-01,step-11,warm,ondemand,0.000,0.0032,0.1379,0.0032,2.10,2.10
4,scenario-01,step-12,warm,ondemand,0.000,0.0031,0.1375,0.0032,2.10,2.10
4,scenario-01,step-13,warm,ondemand,0.000,0.0030,0.1358,0.0045,2.10,2.10
4,scenario-01,step-14,warm,ondemand,0.000,0.0031,0.1377,0.0032,2.10,2.10
3,scenario-02,step-29,warm,spot,0.000,0.0091,0.4835,0.0096,6.29,6.29
4,scenario-01,step-15,warm,ondemand,0.000,0.0031,0.1463,0.0037,2.10,2.10
4,scenario-01,step-16,warm,ondemand,0.000,0.0033,0.1430,0.0031,2.10,2.10
4,scenario-01,step-17,warm,ondemand,0.000,0.0031,0.1379,0.0043,2.10,2.10
3,scenario-02,step-30,warm,spot,0.000,0.0090,0.5042,0.0086,6.29,6.29
4,scenario-01,step-18,warm,ondemand,0.000,0.0032,0.1372,0.0031,2.10,2.10
4,scenario-01,step-19,warm,ondemand,0.000,0.0031,0.1440,0.0038,2.10,2.10
4,scenario-01,step-20,warm,ondemand,0.000,0.0033,0.1402,0.0048,2.10,2.10
3,scenario-02,step-31,warm,spot,0.000,0.0088,0.5092,0.0095,6.29,6.29
4,scenario-01,step-21,warm,ondemand,0.000,0.0032,0.1376,0.0031,2.10,2.10
4,scenario-01,step-22,warm,ondemand,0.000,0.0034,0.1444,0.0031,2.10,2.10
3,scenario-02,step-32,warm,spot,0.000,0.0092,0.4878,0.0095,6.29,6.29
5,scenario-01,step-0,cold,spot,1.827,0.0000,0.1004,0.0032,0.00,2.10
4,scenario-01,step-23,warm,ondemand,0.000,0.0035,0.1394,0.0043,2.10,2.10
5,scenario-01,step-1,warm,spot,0.000,0.0032,0.1546,0.0032,2.10,2.10
4,scenario-01,step-24,warm,ondemand,0.000,0.0034,0.1402,0.0041,2.10,2.10
5,scenario-01,step-2,warm,spot,0.000,0.0031,0.1495,0.0032,2.10,2.10
4,scenario-01,step-25,warm,ondemand,0.000,0.0033,0.1390,0.0034,2.10,2.10
3,scenario-02,step-33,warm,spot,0.000,0.0092,0.4946,0.0096,6.29,6.29
5,scenario-01,step-3,warm,spot,0.000,0.0032,0.1487,0.0039,2.10,2.10
4,scenario-01,step-26,warm,ondemand,0.000,0.0037,0.1452,0.0035,2.10,2.10
5,scenario-01,step-4,warm,spot,0.000,0.0033,0.1506,0.0032,2.10,2.10
4,scenario-01,step-27,warm,ondemand,0.000,0.0035,0.2446,0.0129,2.10,6.29
5,scenario-01,step-5,warm,spot,0.000,0.0035,0.1513,0.0041,2.10,2.10
3,scenario-02,step-34,warm,spot,0.000,0.0094,0.4935,0.0091,6.29,6.29
5,scenario-01,step-6,warm,spot,0.000,0.0032,0.1494,0.0031,2.10,2.10
5,scenario-01,step-7,warm,spot,0.000,0.0032,0.1493,0.0032,2.10,2.10
4,scenario-01,step-28,warm,ondemand,0.000,0.0090,0.4726,0.0092,6.29,6.29
5,scenario-01,step-8,warm,spot,0.000,0.0032,0.1496,0.0033,2.10,2.10
3,scenario-02,step-35,warm,spot,0.000,0.0090,0.4811,0.0095,6.29,6.29
5,scenario-01,step-9,warm,spot,0.000,0.0032,0.1497,0.0033,2.10,2.10
5,scenario-01,step-10,warm,spot,0.000,0.0031,0.1518,0.0034,2.10,2.10
4,scenario-01,step-29,warm,ondemand,0.000,0.0091,0.4868,0.0096,6.29,6.29
5,scenario-01,step-11,warm,spot,0.000,0.0032,0.1492,0.0039,2.10,2.10
3,scenario-02,step-36,warm,spot,0.000,0.0103,0.4846,0.0095,6.29,6.29
5,scenario-01,step-12,warm,spot,0.000,0.0032,0.1490,0.0031,2.10,2.10
5,scenario-01,step-13,warm,spot,0.000,0.0033,0.1467,0.0039,2.10,2.10
4,scenario-01,step-30,warm,ondemand,0.000,0.0091,0.4835,0.0097,6.29,6.29
5,scenario-01,step-14,warm,spot,0.000,0.0031,0.1477,0.0037,2.10,2.10
3,scenario-02,step-37,warm,spot,0.000,0.0094,0.4804,0.0093,6.29,6.29
5,scenario-01,step-15,warm,spot,0.000,0.0033,0.1473,0.0032,2.10,2.10
5,scenario-01,step-16,warm,spot,0.000,0.0032,0.1534,0.0031,2.10,2.10
4,scenario-01,step-31,warm,ondemand,0.000,0.0107,0.4954,0.0096,6.29,6.29
5,scenario-01,step-17,warm,spot,0.000,0.0037,0.1507,0.0036,2.10,2.10
3,scenario-02,step-38,warm,spot,0.000,0.0092,0.4694,0.0097,6.29,6.29
5,scenario-01,step-18,warm,spot,0.000,0.0032,0.1469,0.0031,2.10,2.10
5,scenario-01,step-19,warm,spot,0.000,0.0032,0.1503,0.0032,2.10,2.10
4,scenario-01,step-32,warm,ondemand,0.000,0.0092,0.4970,0.0103,6.29,6.29
5,scenario-01,step-20,warm,spot,0.000,0.0036,0.1561,0.0035,2.10,2.10
3,scenario-02,step-39,warm,spot,0.000,0.0100,0.4739,0.0097,6.29,6.29
5,scenario-01,step-21,warm,spot,0.000,0.0032,0.1455,0.0038,2.10,2.10
5,scenario-01,step-22,warm,spot,0.000,0.0038,0.1482,0.0031,2.10,2.10
3,scenario-02,step-40,warm,spot,0.000,0.0095,0.4680,0.0098,6.29,6.29
4,scenario-01,step-33,warm,ondemand,0.000,0.0098,0.4949,0.0101,6.29,6.29
5,scenario-01,step-23,warm,spot,0.000,0.0032,0.1578,0.0038,2.10,2.10
5,scenario-01,step-24,warm,spot,0.000,0.0039,0.1586,0.0037,2.10,2.10
5,scenario-01,step-25,warm,spot,0.000,0.0036,0.1540,0.0046,2.10,2.10
3,scenario-02,step-41,warm,spot,0.000,0.0112,0.3574,0.0025,6.29,1.05
4,scenario-01,step-34,warm,ondemand,0.000,0.0104,0.5021,0.0090,6.29,6.29
5,scenario-01,step-26,warm,spot,0.000,0.0031,0.1507,0.0041,2.10,2.10
5,scenario-01,step-27,warm,spot,0.000,0.0036,0.2511,0.0097,2.10,6.29
4,scenario-01,step-35,warm,ondemand,0.000,0.0100,0.4925,0.0089,6.29,6.29
