instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
2,scenario-03,step-3,warm,ondemand,0.000,0.0018,0.0758,0.0024,1.05,1.05
2,scenario-03,step-4,warm,ondemand,0.000,0.0019,0.0736,0.0017,1.05,1.05
1,scenario-01,step-21,warm,ondemand,0.000,0.0034,0.1588,0.0031,2.10,2.10
2,scenario-03,step-5,warm,ondemand,0.000,0.0019,0.0746,0.0017,1.05,1.05
2,scenario-03,step-6,warm,ondemand,0.000,0.0019,0.0750,0.0021,1.05,1.05
1,scenario-01,step-22,warm,ondemand,0.000,0.0034,0.1584,0.0036,2.10,2.10
2,scenario-03,step-7,warm,ondemand,0.000,0.0020,0.0788,0.0016,1.05,1.05
2,scenario-03,step-8,warm,ondemand,0.000,0.0018,0.0751,0.0016,1.05,1.05
1,scenario-01,step-23,warm,ondemand,0.000,0.0038,0.1536,0.0033,2.10,2.10
2,scenario-03,step-9,warm,ondemand,0.000,0.0017,0.0727,0.0017,1.05,1.05
2,scenario-03,step-10,warm,ondemand,0.000,0.0019,0.0741,0.0017,1.05,1.05
1,scenario-01,step-24,warm,ondemand,0.000,0.0034,0.1531,0.0031,2.10,2.10
2,scenario-03,step-11,warm,ondemand,0.000,0.0017,0.0734,0.0017,1.05,1.05
2,scenario-03,step-12,warm,ondemand,0.000,0.0019,0.0754,0.0017,1.05,1.05
1,scenario-01,step-25,warm,ondemand,0.000,0.0034,0.1539,0.0030,2.10,2.10
2,scenario-03,step-13,warm,ondemand,0.000,0.0018,0.0722,0.0017,1.05,1.05
2,scenario-03,step-14,warm,ondemand,0.000,0.0019,0.0759,0.0017,1.05,1.05
1,scenario-01,step-26,warm,ondemand,0.000,0.0032,0.1558,0.0031,2.10,2.10
2,scenario-03,step-15,warm,ondemand,0.000,0.0019,0.0723,0.0016,1.05,1.05
2,scenario-03,step-16,warm,ondemand,0.000,0.0018,0.0763,0.0018,1.05,1.05
1,scenario-01,step-27,warm,ondemand,0.000,0.0032,0.2476,0.0091,2.10,6.29
2,scenario-03,step-17,warm,ondemand,0.000,0.0017,0.0753,0.0018,1.05,1.05
2,scenario-03,step-18,warm,ondemand,0.000,0.0018,0.0754,0.0017,1.05,1.05
