instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
2,scenario-03,step-5,warm,reserved,0.000,0.0021,0.0742,0.0018,1.05,1.05
1,scenario-01,step-21,warm,reserved,0.000,0.0035,0.1463,0.0032,2.10,2.10
2,scenario-03,step-6,warm,reserved,0.000,0.0018,0.0738,0.0016,1.05,1.05
2,scenario-03,step-7,warm,reserved,0.000,0.0017,0.0724,0.0019,1.05,1.05
1,scenario-01,step-22,warm,reserved,0.000,0.0033,0.1496,0.0033,2.10,2.10
2,scenario-03,step-8,warm,reserved,0.000,0.0019,0.0725,0.0016,1.05,1.05
2,scenario-03,step-9,warm,reserved,0.000,0.0018,0.0710,0.0016,1.05,1.05
1,scenario-01,step-23,warm,reserved,0.000,0.0032,0.1476,0.0033,2.10,2.10
2,scenario-03,step-10,warm,reserved,0.000,0.0019,0.0723,0.0017,1.05,1.05
1,scenario-01,step-24,warm,reserved,0.000,0.0033,0.1502,0.0034,2.10,2.10
2,scenario-03,step-11,warm,reserved,0.000,0.0020,0.0711,0.0017,1.05,1.05
2,scenario-03,step-12,warm,reserved,0.000,0.0019,0.0712,0.0017,1.05,1.05
1,scenario-01,step-25,warm,reserved,0.000,0.0032,0.1505,0.0034,2.10,2.10
2,scenario-03,step-13,warm,reserved,0.000,0.0017,0.0732,0.0018,1.05,1.05
2,scenario-03,step-14,warm,reserved,0.000,0.0020,0.0717,0.0017,1.05,1.05
1,scenario-01,step-26,warm,reserved,0.000,0.0035,0.1527,0.0032,2.10,2.10
2,scenario-03,step-15,warm,reserved,0.000,0.0020,0.0760,0.0019,1.05,1.05
1,scenario-01,step-27,warm,reserved,0.000,0.0038,0.2473,0.0089,2.10,6.29
2,scenario-03,step-16,warm,reserved,0.000,0.0021,0.0731,0.0017,1.05,1.05
2,scenario-03,step-17,warm,reserved,0.000,0.0021,0.0762,0.0018,1.05,1.05
2,scenario-03,step-18,warm,reserved,0.000,0.0021,0.0759,0.0022,1.05,1.05
2,scenario-03,step-19,warm,reserved,0.000,0.0025,0.0757,0.0026,1.05,1.05
2,scenario-03,step-20,warm,reserved,0.000,0.0018,0.0768,0.0016,1.05,1.05
2,scenario-03,step-21,warm,reserved,0.000,0.0020,0.0775,0.0019,1.05,1.05
1,scenario-01,step-28,warm,reserved,0.000,0.0108,0.5013,0.0095,6.29,6.29
2,scenario-03,step-22,warm,reserved,0.000,0.0019,0.0731,0.0018,1.05,1.05
2,scenario-03,step-23,warm,reserved,0.000,0.0020,0.0720,0.0017,1.05,1.05
2,scenario-03,step-24,warm,reserved,0.000,0.0018,0.0740,0.0016,1.05,1.05
2,scenario-03,step-25,warm,reserved,0.000,0.0017,0.0745,0.0016,1.05,1.05
2,scenario-03,step-26,warm,reserved,0.000,0.0018,0.0762,0.0016,1.05,1.05
1,scenario-01,step-29,warm,reserved,0.000,0.0089,0.4774,0.0091,6.29,6.29
2,scenario-03,step-27,warm,reserved,0.000,0.0016,0.1211,0.0045,1.05,3.15
2,scenario-03,step-28,warm,reserved,0.000,0.0046,0.2347,0.0047,3.15,3.15
1,scenario-01,step-30,warm,reserved,0.000,0.0092,0.4742,0.0087,6.29,6.29
2,scenario-03,step-29,warm,reserved,0.000,0.0047,0.2456,0.0055,3.15,3.15
2,scenario-03,step-30,warm,reserved,0.000,0.0049,0.2491,0.0046,3.15,3.15
1,scenario-01,step-31,warm,reserved,0.000,0.0092,0.4926,0.0088,6.29,6.29
2,scenario-03,step-31,warm,reserved,0.000,0.0047,0.2449,0.0051,3.15,3.15
2,scenario-03,step-32,warm,reserved,0.000,0.0045,0.2392,0.0045,3.15,3.15
1,scenario-01,step-32,warm,reserved,0.000,0.0092,0.4776,0.0094,6.29,6.29
2,scenario-03,step-33,warm,reserved,0.000,0.0046,0.2394,0.0046,3.15,3.15
2,scenario-03,step-34,warm,reserved,0.000,0.0050,0.2560,0.0045,3.15,3.15
1,scenario-01,step-33,warm,reserved,0.000,0.0097,0.4997,0.0087,6.29,6.29
2,scenario-03,step-35,warm,reserved,0.000,0.0045,0.2470,0.0046,3.15,3.15
2,scenario-03,step-36,warm,reserved,0.000,0.0053,0.2421,0.0045,3.15,3.15
1,scenario-01,step-34,warm,reserved,0.000,0.0091,0.4774,0.0089,6.29,6.29
2,scenario-03,step-37,warm,reserved,0.000,0.0047,0.2388,0.0047,3.15,3.15
2,scenario-03,step-38,warm,reserved,0.000,0.0047,0.2401,0.0052,3.15,3.15
1,scenario-01,step-35,warm,reserved,0.000,0.0090,0.4686,0.0092,6.29,6.29
2,scenario-03,step-39,warm,reserved,0.000,0.0047,0.2313,0.0047,3.15,3.15
2,scenario-03,step-40,warm,reserved,0.000,0.0047,0.2328,0.0044,3.15,3.15
1,scenario-01,step-36,warm,reserved,0.000,0.0100,0.4672,0.0090,6.29,6.29
2,scenario-03,step-41,warm,reserved,0.000,0.0050,0.1825,0.0018,3.15,1.05
1,scenario-01,step-37,warm,reserved,0.000,0.0091,0.4842,0.0088,6.29,6.29
1,scenario-01,step-38,warm,reserved,0.000,0.0089,0.4676,0.0089,6.29,6.29
1,scenario-01,step-39,warm,reserved,0.000,0.0091,0.4586,0.0089,6.29,6.29
1,scenario-01,step-40,warm,reserved,0.000,0.0088,0.4571,0.0086,6.29,6.29
1,scenario-01,step-41,warm,reserved,0.000,0.0087,0.3482,0.0021,6.29,1.05
3,scenario-02,step-0,warm,reserved,0.000,0.0000,0.0717,0.0016,0.00,1.05
3,scenario-02,step-1,warm,reserved,0.000,0.0018,0.0892,0.0031,1.05,2.10
3,scenario-02,step-2,warm,reserved,0.000,0.0031,0.1185,0.0016,2.10,1.05
3,scenario-02,step-3,warm,reserved,0.000,0.0017,0.0886,0.0031,1.05,2.10
3,scenario-02,step-4,warm,reserved,0.000,0.0033,0.1121,0.0017,2.10,1.05
3,scenario-02,step-5,warm,reserved,0.000,0.0017,0.0670,0.0016,1.05,1.05
3,scenario-02,step-6,warm,reserved,0.000,0.0018,0.0902,0.0031,1.05,2.10
3,scenario-02,step-7,warm,reserved,0.000,0.0035,0.1348,0.0031,2.10,2.10
3,scenario-02,step-8,warm,reserved,0.000,0.0031,0.1144,0.0016,2.10,1.05
3,scenario-02,step-9,warm,reserved,0.000,0.0017,0.0891,0.0033,1.05,2.10
3,scenario-02,step-10,warm,reserved,0.000,0.0031,0.1332,0.0032,2.10,2.10
3,scenario-02,step-11,warm,reserved,0.000,0.0036,0.1337,0.0033,2.10,2.10
