"workflow","policy","instances","reserved_cost","ondemand_cost","spot_cost","total_cost","reward","profit","deadlines_missed","cold_starts","warm_or_reuse","total_cold_start_s","measured_transfer_s","measured_compute_s","transfer_share_pct","spot_revocations","tasks_on_reserved","tasks_on_ondemand","tasks_on_spot"
"log_processing","d_random","6","0.0000","2.5393","0.0000","2.5393","0.0000","-2.5393","6","0","0","0.00","0.00","0.00","0.00","0","0","0","0"
"log_processing","d_sota","6","0.0000","2.6391","0.0000","2.6391","0.0000","-2.6391","6","0","0","0.00","0.00","0.00","0.00","0","0","0","0"
"log_processing","d_dcd","6","0.0000","2.6511","0.0000","2.6511","0.0000","-2.6511","6","0","0","0.00","0.00","0.00","0.00","0","0","0","0"
"log_processing","ds_sota2","6","0.0000","2.1662","0.0630","2.2292","0.0000","-2.2292","6","0","0","0.00","0.00","0.00","0.00","1","0","0","0"
"log_processing","rd_dcd","6","0.4950","1.4661","0.0000","1.9611","0.1855","-1.7757","5","3","4","5.72","3.05","28.26","9.75","0","6","1","0"
"log_processing","rds_random","6","0.8274","0.6953","0.0000","1.5227","0.9348","-0.5878","5","5","2","8.62","1.25","20.16","5.85","1","6","0","1"
"log_processing","rds_dcd","6","0.0000","0.6139","0.0647","0.6786","1.1203","0.4417","4","4","4","5.74","0.96","20.00","4.58","5","0","0","8"
"log_processing","rds_dcd_pred","6","0.3611","0.4814","0.0433","0.8859","1.1203","0.2344","4","2","6","2.11","0.97","20.50","4.51","3","4","0","4"
